Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0533,0.0101,0.6000
0.3195,0.0653,0.5500
0.7219,0.2513,0.5000
0.7278,0.2613,0.4500
0.9467,0.5528,0.4000
1.0000,0.7990,0.3500
1.0000,0.7990,0.3000
1.0000,0.8995,0.2500
1.0000,0.9749,0.2000
1.0000,0.9749,0.1500
1.0000,0.9899,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
73.6413,0.5000
TP,FP,FN,TN
122,50,47,149
