Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0195,0.0000,0.9500
0.0703,0.0026,0.9000
0.1602,0.0077,0.8500
0.2344,0.0103,0.8000
0.2773,0.0103,0.7500
0.3320,0.0155,0.7000
0.4063,0.0180,0.6500
0.4844,0.0206,0.6000
0.6406,0.0412,0.5500
0.8711,0.1108,0.5000
0.9141,0.1701,0.4500
0.9531,0.2964,0.4000
0.9844,0.4742,0.3500
1.0000,0.7062,0.3000
1.0000,0.8015,0.2500
1.0000,0.8840,0.2000
1.0000,0.9381,0.1500
1.0000,0.9716,0.1000
1.0000,0.9871,0.0500
Best %,Threshold
88.1988,0.5000
TP,FP,FN,TN
223,43,33,345
