Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0080,0.0000,0.9500
0.0279,0.0000,0.9000
0.0717,0.0000,0.8500
0.1036,0.0000,0.8000
0.1713,0.0051,0.7500
0.2390,0.0076,0.7000
0.5339,0.0229,0.6500
0.6056,0.0254,0.6000
0.7171,0.0407,0.5500
0.7888,0.0560,0.5000
0.8406,0.0891,0.4500
0.9044,0.1450,0.4000
0.9482,0.2595,0.3500
1.0000,0.7583,0.3000
1.0000,0.8982,0.2500
1.0000,0.9771,0.2000
1.0000,0.9949,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
88.3540,0.5000
TP,FP,FN,TN
198,22,53,371
