Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0506,0.0491,0.6500
0.0973,0.1473,0.6000
0.2101,0.2610,0.5500
0.3580,0.3953,0.5000
0.5875,0.6693,0.4500
0.7510,0.8811,0.4000
0.8599,0.9535,0.3500
1.0000,0.9974,0.3000
1.0000,0.9974,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
60.0932,1.0000
TP,FP,FN,TN
0,0,257,387
