Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0037,0.0000,0.9500
0.0440,0.0027,0.9000
0.0549,0.0027,0.8500
0.0916,0.0027,0.8000
0.1282,0.0027,0.7500
0.1905,0.0054,0.7000
0.2491,0.0054,0.6500
0.3590,0.0081,0.6000
0.4212,0.0162,0.5500
0.8059,0.1267,0.5000
0.8755,0.2129,0.4500
0.9304,0.3747,0.4000
0.9744,0.6226,0.3500
0.9963,0.8518,0.3000
1.0000,0.9488,0.2500
1.0000,0.9757,0.2000
1.0000,0.9892,0.1500
1.0000,0.9973,0.1000
1.0000,0.9973,0.0500
Best %,Threshold
84.4720,0.5000
TP,FP,FN,TN
220,47,53,324
