Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0000,0.0000,0.6000
0.0026,0.0000,0.5500
0.3730,0.0453,0.5000
0.5013,0.0867,0.4500
0.6296,0.1453,0.4000
0.7382,0.2227,0.3500
0.8599,0.3359,0.3000
0.9490,0.4639,0.2500
0.9830,0.6112,0.2000
0.9987,0.8098,0.1500
1.0000,0.9763,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
81.8182,0.5000
TP,FP,FN,TN
285,113,479,2379
