Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0000,0.0000,0.6000
0.0000,0.0000,0.5500
0.0028,0.0000,0.5000
0.0056,0.0046,0.4500
0.0112,0.0046,0.4000
0.0281,0.0069,0.3500
0.0562,0.0185,0.3000
0.0983,0.0370,0.2500
0.1854,0.0949,0.2000
0.3399,0.1944,0.1500
0.5927,0.4213,0.1000
0.8876,0.7940,0.0500
Best %,Threshold
59.5178,0.1500
TP,FP,FN,TN
121,84,235,348
