Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.2396,0.0444,0.9500
0.3148,0.1051,0.9000
0.3788,0.1542,0.8500
0.4039,0.1963,0.8000
0.4290,0.2220,0.7500
0.4652,0.2266,0.7000
0.4875,0.2593,0.6500
0.5097,0.2804,0.6000
0.5320,0.3014,0.5500
0.5627,0.3178,0.5000
0.5961,0.3271,0.4500
0.6240,0.3435,0.4000
0.6490,0.3645,0.3500
1.0000,1.0000,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
64.1677,0.4000
TP,FP,FN,TN
224,147,135,281
