Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0075,0.0000,0.8500
0.0075,0.0000,0.8000
0.0299,0.0085,0.7500
0.1269,0.0128,0.7000
0.1866,0.0128,0.6500
0.2687,0.0171,0.6000
0.3657,0.0427,0.5500
0.5522,0.0769,0.5000
0.6791,0.1154,0.4500
0.7687,0.1795,0.4000
0.9104,0.3077,0.3500
0.9776,0.4786,0.3000
0.9925,0.8419,0.2500
1.0000,0.9060,0.2000
1.0000,0.9744,0.1500
1.0000,0.9872,0.1000
1.0000,0.9915,0.0500
Best %,Threshold
80.9783,0.4500
TP,FP,FN,TN
91,27,43,207
