Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0063,0.0000,0.7500
0.0063,0.0143,0.7000
0.0063,0.0143,0.6500
0.0253,0.0238,0.6000
0.0886,0.0238,0.5500
0.2911,0.0333,0.5000
0.6076,0.0810,0.4500
0.8291,0.1810,0.4000
0.9684,0.4619,0.3500
0.9937,0.8619,0.3000
1.0000,0.9714,0.2500
1.0000,0.9857,0.2000
1.0000,0.9905,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
82.3370,0.4000
TP,FP,FN,TN
131,38,27,172
