Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0409,0.0000,0.9000
0.0831,0.0020,0.8500
0.1176,0.0036,0.8000
0.1701,0.0085,0.7500
0.2506,0.0129,0.7000
0.3440,0.0174,0.6500
0.4041,0.0279,0.6000
0.4629,0.0380,0.5500
0.5000,0.0530,0.5000
0.5601,0.0675,0.4500
0.6074,0.0881,0.4000
0.6739,0.1168,0.3500
0.7391,0.1532,0.3000
0.8056,0.2045,0.2500
0.8887,0.2773,0.2000
0.9271,0.3521,0.1500
0.9680,0.4442,0.1000
0.9910,0.5881,0.0500
Best %,Threshold
84.3059,0.4500
TP,FP,FN,TN
438,167,344,2307
