Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0412,0.0000,0.9000
0.0824,0.0008,0.8500
0.1336,0.0037,0.8000
0.2047,0.0086,0.7500
0.2759,0.0134,0.7000
0.3421,0.0228,0.6500
0.3970,0.0318,0.6000
0.4594,0.0444,0.5500
0.5194,0.0570,0.5000
0.5818,0.0729,0.4500
0.6467,0.0925,0.4000
0.7129,0.1255,0.3500
0.7778,0.1646,0.3000
0.8390,0.2183,0.2500
0.9064,0.2782,0.2000
0.9463,0.3540,0.1500
0.9800,0.4456,0.1000
0.9950,0.6016,0.0500
Best %,Threshold
84.3366,0.4000
TP,FP,FN,TN
518,227,283,2228
