Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0013,0.0000,0.9000
0.0177,0.0000,0.8500
0.0507,0.0004,0.8000
0.0875,0.0045,0.7500
0.1407,0.0081,0.7000
0.2015,0.0162,0.6500
0.2674,0.0272,0.6000
0.3295,0.0409,0.5500
0.3916,0.0543,0.5000
0.4677,0.0734,0.4500
0.5539,0.0944,0.4000
0.6071,0.1240,0.3500
0.6743,0.1625,0.3000
0.7452,0.2136,0.2500
0.8276,0.2769,0.2000
0.8999,0.3531,0.1500
0.9531,0.4682,0.1000
0.9962,0.6709,0.0500
Best %,Threshold
82.0332,0.4000
TP,FP,FN,TN
437,233,352,2234
