Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0142,0.0000,0.9000
0.0355,0.0000,0.8500
0.0780,0.0000,0.8000
0.1844,0.0044,0.7500
0.2908,0.0132,0.7000
0.3617,0.0176,0.6500
0.4326,0.0220,0.6000
0.5177,0.0264,0.5500
0.9504,0.8238,0.5000
0.9504,0.8282,0.4500
0.9574,0.8458,0.4000
0.9645,0.8767,0.3500
0.9787,0.9031,0.3000
0.9787,0.9251,0.2500
1.0000,0.9515,0.2000
1.0000,0.9736,0.1500
1.0000,0.9956,0.1000
1.0000,0.9956,0.0500
Best %,Threshold
79.8913,0.5500
TP,FP,FN,TN
73,6,68,221
