Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0000,0.0000,0.6000
0.0000,0.0000,0.5500
0.5942,0.0261,0.5000
0.6014,0.0261,0.4500
0.6014,0.0261,0.4000
0.6014,0.0304,0.3500
0.6087,0.0348,0.3000
0.6159,0.0348,0.2500
0.6304,0.0348,0.2000
0.6304,0.0348,0.1500
0.6377,0.0348,0.1000
0.6522,0.0435,0.0500
Best %,Threshold
84.2391,0.1000
TP,FP,FN,TN
88,8,50,222
