Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.5423,0.0487,0.9500
0.6972,0.0841,0.9000
0.7887,0.1062,0.8500
0.8380,0.1593,0.8000
0.8662,0.1858,0.7500
0.8944,0.2168,0.7000
0.9296,0.2788,0.6500
0.9507,0.3540,0.6000
0.9577,0.4292,0.5500
0.9648,0.5664,0.5000
0.9789,0.6195,0.4500
1.0000,0.7035,0.4000
1.0000,0.7478,0.3500
1.0000,0.8230,0.3000
1.0000,0.8451,0.2500
1.0000,0.8673,0.2000
1.0000,0.8894,0.1500
1.0000,0.9646,0.1000
1.0000,0.9823,0.0500
Best %,Threshold
85.3261,0.8500
TP,FP,FN,TN
112,24,30,202
