Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6093,0.0645,0.9500
0.7417,0.0876,0.9000
0.7748,0.1290,0.8500
0.8013,0.1705,0.8000
0.8212,0.1935,0.7500
0.8609,0.2258,0.7000
0.8874,0.3272,0.6500
0.9139,0.3917,0.6000
0.9205,0.4470,0.5500
0.9868,0.6129,0.5000
0.9934,0.7005,0.4500
0.9934,0.7281,0.4000
0.9934,0.7604,0.3500
0.9934,0.7972,0.3000
1.0000,0.8157,0.2500
1.0000,0.8525,0.2000
1.0000,0.8986,0.1500
1.0000,0.9539,0.1000
1.0000,0.9908,0.0500
Best %,Threshold
84.2391,0.9000
TP,FP,FN,TN
112,19,39,198
