Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0146,0.0000,0.9500
0.0219,0.0043,0.9000
0.0511,0.0043,0.8500
0.1095,0.0043,0.8000
0.2044,0.0043,0.7500
0.2628,0.0043,0.7000
0.3358,0.0087,0.6500
0.4307,0.0087,0.6000
0.5328,0.0173,0.5500
0.5839,0.0216,0.5000
0.7299,0.0476,0.4500
0.8248,0.0736,0.4000
0.8686,0.1472,0.3500
0.9197,0.2597,0.3000
0.9781,0.3723,0.2500
0.9927,0.6494,0.2000
1.0000,0.8485,0.1500
1.0000,0.9091,0.1000
1.0000,0.9654,0.0500
Best %,Threshold
88.8587,0.4000
TP,FP,FN,TN
113,17,24,214
