Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0070,0.0000,0.9500
0.0490,0.0044,0.9000
0.0909,0.0044,0.8500
0.1538,0.0044,0.8000
0.2378,0.0133,0.7500
0.2937,0.0311,0.7000
0.3776,0.0400,0.6500
0.4476,0.0489,0.6000
0.5804,0.0800,0.5500
0.8671,0.2667,0.5000
0.9301,0.3822,0.4500
0.9720,0.5600,0.4000
0.9930,0.6933,0.3500
0.9930,0.7644,0.3000
0.9930,0.8133,0.2500
0.9930,0.8933,0.2000
1.0000,0.9289,0.1500
1.0000,0.9511,0.1000
1.0000,0.9733,0.0500
Best %,Threshold
78.8043,0.5500
TP,FP,FN,TN
83,18,60,207
