Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0076,0.0008,0.9500
0.0596,0.0020,0.9000
0.1204,0.0041,0.8500
0.1736,0.0077,0.8000
0.2421,0.0158,0.7500
0.2991,0.0235,0.7000
0.3561,0.0320,0.6500
0.3954,0.0369,0.6000
0.4474,0.0446,0.5500
0.5019,0.0584,0.5000
0.5564,0.0754,0.4500
0.6058,0.0920,0.4000
0.6464,0.1103,0.3500
0.7060,0.1415,0.3000
0.7719,0.1796,0.2500
0.8580,0.2343,0.2000
0.9087,0.3012,0.1500
0.9468,0.3851,0.1000
0.9823,0.5140,0.0500
Best %,Threshold
83.5381,0.4500
TP,FP,FN,TN
439,186,350,2281
