Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0498,0.0008,0.9500
0.1022,0.0028,0.9000
0.1533,0.0060,0.8500
0.1940,0.0084,0.8000
0.2398,0.0132,0.7500
0.2818,0.0168,0.7000
0.3277,0.0245,0.6500
0.3696,0.0313,0.6000
0.4155,0.0413,0.5500
0.6933,0.1324,0.5000
0.7313,0.1532,0.4500
0.7602,0.1765,0.4000
0.7942,0.1957,0.3500
0.8204,0.2242,0.3000
0.8532,0.2559,0.2500
0.8794,0.2960,0.2000
0.9096,0.3381,0.1500
0.9410,0.3995,0.1000
0.9672,0.4882,0.0500
Best %,Threshold
83.1388,0.5500
TP,FP,FN,TN
317,103,446,2390
