Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0381,0.0008,0.9500
0.1095,0.0020,0.9000
0.1648,0.0049,0.8500
0.2312,0.0106,0.8000
0.2854,0.0209,0.7500
0.3518,0.0270,0.7000
0.4010,0.0332,0.6500
0.4428,0.0422,0.6000
0.5031,0.0573,0.5500
0.5412,0.0716,0.5000
0.5818,0.0839,0.4500
0.6236,0.1027,0.4000
0.6827,0.1212,0.3500
0.7257,0.1510,0.3000
0.7811,0.1813,0.2500
0.8290,0.2292,0.2000
0.8733,0.2812,0.1500
0.9237,0.3541,0.1000
0.9631,0.4621,0.0500
Best %,Threshold
83.2924,0.5500
TP,FP,FN,TN
409,140,404,2303
