Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0135,0.0045,0.9500
0.0135,0.0091,0.9000
0.0946,0.0136,0.8500
0.1351,0.0136,0.8000
0.2703,0.0136,0.7500
0.3581,0.0273,0.7000
0.4459,0.0455,0.6500
0.5473,0.0500,0.6000
0.6824,0.0682,0.5500
0.7500,0.1000,0.5000
0.8514,0.1727,0.4500
0.9122,0.2818,0.4000
0.9595,0.3773,0.3500
0.9797,0.6136,0.3000
1.0000,0.7636,0.2500
1.0000,0.8545,0.2000
1.0000,0.9364,0.1500
1.0000,0.9727,0.1000
1.0000,0.9864,0.0500
Best %,Threshold
83.9674,0.5000
TP,FP,FN,TN
111,22,37,198
