Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0069,0.0000,0.9000
0.0347,0.0045,0.8500
0.0486,0.0089,0.8000
0.1111,0.0089,0.7500
0.1458,0.0089,0.7000
0.2222,0.0134,0.6500
0.3333,0.0179,0.6000
0.4444,0.0223,0.5500
0.7292,0.0938,0.5000
0.8056,0.1652,0.4500
0.9028,0.3214,0.4000
0.9514,0.4420,0.3500
1.0000,0.6652,0.3000
1.0000,0.8125,0.2500
1.0000,0.8839,0.2000
1.0000,0.9554,0.1500
1.0000,0.9911,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.6957,0.5000
TP,FP,FN,TN
105,21,39,203
