Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0064,0.0000,0.7000
0.0128,0.0000,0.6500
0.0705,0.0000,0.6000
0.2179,0.0000,0.5500
0.3782,0.0094,0.5000
0.5705,0.0189,0.4500
0.7949,0.0660,0.4000
0.9167,0.3255,0.3500
1.0000,0.7783,0.3000
1.0000,0.9104,0.2500
1.0000,0.9811,0.2000
1.0000,0.9858,0.1500
1.0000,0.9858,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
87.5000,0.4000
TP,FP,FN,TN
124,14,32,198
