Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6031,0.0675,0.9500
0.7176,0.0928,0.9000
0.8015,0.1224,0.8500
0.8321,0.1477,0.8000
0.8779,0.1899,0.7500
0.8931,0.2194,0.7000
0.9160,0.2489,0.6500
0.9389,0.2996,0.6000
0.9466,0.3544,0.5500
1.0000,0.8059,0.5000
1.0000,0.8439,0.4500
1.0000,0.8523,0.4000
1.0000,0.8608,0.3500
1.0000,0.8692,0.3000
1.0000,0.8903,0.2500
1.0000,0.9325,0.2000
1.0000,0.9451,0.1500
1.0000,0.9536,0.1000
1.0000,0.9747,0.0500
Best %,Threshold
85.0543,0.8500
TP,FP,FN,TN
105,29,26,208
