Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0040,0.0000,0.7500
0.0317,0.0000,0.7000
0.0739,0.0016,0.6500
0.1346,0.0040,0.6000
0.2309,0.0144,0.5500
0.3206,0.0268,0.5000
0.4340,0.0436,0.4500
0.5237,0.0713,0.4000
0.6201,0.1045,0.3500
0.7441,0.1737,0.3000
0.8470,0.2754,0.2500
0.9261,0.3643,0.2000
0.9683,0.4560,0.1500
0.9974,0.6449,0.1000
1.0000,0.9804,0.0500
Best %,Threshold
83.4767,0.4500
TP,FP,FN,TN
329,109,429,2389
