Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0044,0.6500
0.0699,0.0089,0.6000
0.4196,0.0578,0.5500
1.0000,0.8933,0.5000
1.0000,0.9600,0.4500
1.0000,0.9778,0.4000
1.0000,0.9867,0.3500
1.0000,0.9867,0.3000
1.0000,0.9867,0.2500
1.0000,0.9867,0.2000
1.0000,0.9867,0.1500
1.0000,0.9956,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
73.9130,0.5500
TP,FP,FN,TN
60,13,83,212
