Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0094,0.7000
0.0000,0.0094,0.6500
0.0000,0.0377,0.6000
0.0000,0.0425,0.5500
0.0000,0.0896,0.5000
0.0000,0.0943,0.4500
0.0064,0.1604,0.4000
0.0064,0.1698,0.3500
0.0128,0.2264,0.3000
0.0128,0.2453,0.2500
0.0833,0.5142,0.2000
0.1026,0.6085,0.1500
0.6731,0.9575,0.1000
0.8910,0.9811,0.0500
Best %,Threshold
57.6087,1.0000
TP,FP,FN,TN
0,0,156,212
