Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0065,0.0000,0.9500
0.0065,0.0000,0.9000
0.0129,0.0047,0.8500
0.9161,0.1784,0.8000
0.9355,0.2394,0.7500
0.9484,0.3099,0.7000
0.9677,0.3662,0.6500
0.9742,0.4742,0.6000
0.9871,0.5446,0.5500
0.9935,0.6385,0.5000
0.9935,0.6995,0.4500
0.9935,0.8075,0.4000
0.9935,0.8263,0.3500
1.0000,0.8357,0.3000
1.0000,0.8592,0.2500
1.0000,0.9155,0.2000
1.0000,0.9390,0.1500
1.0000,0.9484,0.1000
1.0000,0.9624,0.0500
Best %,Threshold
86.1413,0.8000
TP,FP,FN,TN
142,38,13,175
