Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.9290,0.2770,0.9500
0.9742,0.5023,0.9000
0.9935,0.6056,0.8500
1.0000,0.6667,0.8000
1.0000,0.7042,0.7500
1.0000,0.7418,0.7000
1.0000,0.7840,0.6500
1.0000,0.8075,0.6000
1.0000,0.8263,0.5500
1.0000,0.8404,0.5000
1.0000,0.8498,0.4500
1.0000,0.8592,0.4000
1.0000,0.8732,0.3500
1.0000,0.8873,0.3000
1.0000,0.9014,0.2500
1.0000,0.9061,0.2000
1.0000,0.9437,0.1500
1.0000,0.9484,0.1000
1.0000,0.9671,0.0500
Best %,Threshold
80.9783,0.9500
TP,FP,FN,TN
144,59,11,154
