Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0069,0.0000,0.9500
0.0069,0.0045,0.9000
0.0139,0.0045,0.8500
0.0556,0.0045,0.8000
0.0833,0.0134,0.7500
0.1667,0.0134,0.7000
0.2500,0.0179,0.6500
0.4097,0.0357,0.6000
0.5556,0.0536,0.5500
1.0000,0.8661,0.5000
1.0000,0.9018,0.4500
1.0000,0.9509,0.4000
1.0000,0.9821,0.3500
1.0000,0.9911,0.3000
1.0000,0.9955,0.2500
1.0000,0.9955,0.2000
1.0000,0.9955,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
79.3478,0.5500
TP,FP,FN,TN
80,12,64,212
