Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0065,0.0000,0.9500
0.0065,0.0000,0.9000
0.0129,0.0047,0.8500
0.0387,0.0047,0.8000
0.0903,0.0047,0.7500
0.1548,0.0141,0.7000
0.3097,0.0141,0.6500
0.4387,0.0235,0.6000
0.5161,0.0516,0.5500
0.5613,0.0704,0.5000
0.6452,0.1315,0.4500
0.7355,0.1643,0.4000
0.8194,0.2254,0.3500
0.8903,0.3474,0.3000
0.9226,0.5258,0.2500
1.0000,0.8169,0.2000
1.0000,0.9155,0.1500
1.0000,0.9531,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
79.3478,0.4000
TP,FP,FN,TN
114,35,41,178
