Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0013,0.0000,0.8000
0.0114,0.0000,0.7500
0.0534,0.0004,0.7000
0.1207,0.0020,0.6500
0.1919,0.0093,0.6000
0.3011,0.0255,0.5500
0.4155,0.0450,0.5000
0.5197,0.0729,0.4500
0.6099,0.1138,0.4000
0.7141,0.1592,0.3500
0.8170,0.2325,0.3000
0.8869,0.3054,0.2500
0.9327,0.3751,0.2000
0.9771,0.4698,0.1500
0.9924,0.6517,0.1000
1.0000,0.9510,0.0500
Best %,Threshold
82.8624,0.4500
TP,FP,FN,TN
409,180,378,2289
