Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0469,0.4125,0.9500
0.0625,0.4167,0.9000
0.0703,0.4208,0.8500
0.0781,0.4292,0.8000
0.0781,0.4417,0.7500
0.0859,0.4500,0.7000
0.0859,0.4625,0.6500
0.1016,0.4667,0.6000
0.1016,0.4708,0.5500
0.1016,0.5458,0.5000
0.1016,0.5500,0.4500
0.1016,0.5542,0.4000
0.1094,0.5625,0.3500
0.1094,0.5667,0.3000
0.1172,0.5792,0.2500
0.1172,0.5792,0.2000
0.1172,0.5917,0.1500
0.1250,0.6000,0.1000
0.1250,0.6208,0.0500
Best %,Threshold
65.2174,1.0000
TP,FP,FN,TN
0,0,128,240
