Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0818,0.0000,0.7000
0.2579,0.0096,0.6500
0.4528,0.0096,0.6000
0.6667,0.0383,0.5500
0.8302,0.1196,0.5000
0.9182,0.2488,0.4500
0.9874,0.6651,0.4000
0.9937,0.8230,0.3500
0.9937,0.9043,0.3000
1.0000,0.9569,0.2500
1.0000,0.9856,0.2000
1.0000,0.9856,0.1500
1.0000,0.9904,0.1000
1.0000,0.9952,0.0500
Best %,Threshold
85.8696,0.5000
TP,FP,FN,TN
132,25,27,184
