Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0067,0.0000,0.8500
0.0134,0.0000,0.8000
0.0268,0.0046,0.7500
0.0604,0.0046,0.7000
0.2013,0.0183,0.6500
0.3758,0.0320,0.6000
0.5369,0.0457,0.5500
0.8456,0.1826,0.5000
0.8859,0.2740,0.4500
0.9530,0.3836,0.4000
0.9799,0.5571,0.3500
0.9933,0.7443,0.3000
1.0000,0.8128,0.2500
1.0000,0.9041,0.2000
1.0000,0.9406,0.1500
1.0000,0.9543,0.1000
1.0000,0.9909,0.0500
Best %,Threshold
82.8804,0.5000
TP,FP,FN,TN
126,40,23,179
