Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0044,0.7000
0.0000,0.0044,0.6500
0.0144,0.0044,0.6000
0.0863,0.0044,0.5500
0.4101,0.0131,0.5000
0.6331,0.0568,0.4500
0.8058,0.1528,0.4000
0.9281,0.4148,0.3500
0.9928,0.8384,0.3000
1.0000,0.9127,0.2500
1.0000,0.9956,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.1522,0.4000
TP,FP,FN,TN
112,35,27,194
