Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0153,0.0000,0.9500
0.0763,0.0042,0.9000
0.1374,0.0084,0.8500
0.2214,0.0127,0.8000
0.3053,0.0211,0.7500
0.4198,0.0211,0.7000
0.4962,0.0338,0.6500
0.5878,0.0422,0.6000
0.6412,0.0591,0.5500
0.7405,0.0591,0.5000
0.7863,0.0759,0.4500
0.8626,0.0970,0.4000
0.9084,0.1941,0.3500
0.9313,0.3122,0.3000
0.9771,0.4599,0.2500
0.9924,0.6709,0.2000
1.0000,0.7975,0.1500
1.0000,0.8692,0.1000
1.0000,0.9494,0.0500
Best %,Threshold
88.8587,0.4000
TP,FP,FN,TN
113,23,18,214
