Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0075,0.0043,0.7000
0.0149,0.0043,0.6500
0.1269,0.0171,0.6000
0.3582,0.0427,0.5500
0.7388,0.1026,0.5000
0.8731,0.2222,0.4500
0.9627,0.5598,0.4000
0.9925,0.8077,0.3500
1.0000,0.9103,0.3000
1.0000,0.9744,0.2500
1.0000,0.9957,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.9674,0.5000
TP,FP,FN,TN
99,24,35,210
