Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0764,0.0190,0.6000
0.3567,0.0332,0.5500
1.0000,0.9573,0.5000
1.0000,0.9858,0.4500
1.0000,0.9858,0.4000
1.0000,0.9858,0.3500
1.0000,1.0000,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
70.6522,0.5500
TP,FP,FN,TN
56,7,101,204
