Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0145,0.8500
0.0248,0.0145,0.8000
0.0497,0.0193,0.7500
0.1180,0.0193,0.7000
0.2112,0.0386,0.6500
0.3043,0.0580,0.6000
0.4658,0.0628,0.5500
1.0000,0.9517,0.5000
1.0000,0.9758,0.4500
1.0000,0.9855,0.4000
1.0000,0.9855,0.3500
1.0000,0.9855,0.3000
1.0000,0.9903,0.2500
1.0000,0.9952,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
73.0978,0.5500
TP,FP,FN,TN
75,13,86,194
