Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0122,0.0098,0.9500
0.0427,0.0098,0.9000
0.0793,0.0098,0.8500
0.0793,0.0098,0.8000
0.0915,0.0147,0.7500
0.1037,0.0147,0.7000
0.1280,0.0147,0.6500
0.1524,0.0147,0.6000
0.1707,0.0147,0.5500
0.5610,0.0588,0.5000
0.6159,0.0686,0.4500
0.6646,0.0735,0.4000
0.7073,0.0784,0.3500
0.7439,0.0833,0.3000
0.7988,0.1275,0.2500
0.8476,0.1912,0.2000
0.9207,0.3235,0.1500
0.9695,0.4314,0.1000
0.9878,0.5833,0.0500
Best %,Threshold
83.9674,0.3000
TP,FP,FN,TN
122,17,42,187
