Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0094,0.7500
0.0000,0.0094,0.7000
0.0000,0.0094,0.6500
0.0000,0.0094,0.6000
0.0000,0.0188,0.5500
0.0000,0.0188,0.5000
0.0000,0.0282,0.4500
0.0000,0.0376,0.4000
0.0000,0.1080,0.3500
0.0065,0.2113,0.3000
0.0129,0.2911,0.2500
0.0194,0.3897,0.2000
0.0452,0.5352,0.1500
0.0710,0.6901,0.1000
0.6000,0.9953,0.0500
Best %,Threshold
57.8804,1.0000
TP,FP,FN,TN
0,0,155,213
