Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0126,0.0025,0.9500
0.0504,0.0025,0.9000
0.1387,0.0074,0.8500
0.2311,0.0074,0.8000
0.3151,0.0099,0.7500
0.3571,0.0197,0.7000
0.4538,0.0345,0.6500
0.5504,0.0394,0.6000
0.6387,0.0468,0.5500
0.8866,0.1650,0.5000
0.9160,0.2192,0.4500
0.9286,0.3153,0.4000
0.9622,0.4483,0.3500
0.9832,0.6010,0.3000
1.0000,0.8350,0.2500
1.0000,0.9458,0.2000
1.0000,0.9754,0.1500
1.0000,0.9951,0.1000
1.0000,0.9975,0.0500
Best %,Threshold
85.4037,0.5000
TP,FP,FN,TN
211,67,27,339
