Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0134,0.0046,0.8000
0.0201,0.0091,0.7500
0.0738,0.0091,0.7000
0.2215,0.0137,0.6500
0.4765,0.0228,0.6000
0.6644,0.0457,0.5500
0.8658,0.1644,0.5000
0.9530,0.4338,0.4500
0.9866,0.6712,0.4000
1.0000,0.8082,0.3500
1.0000,0.9863,0.3000
1.0000,0.9863,0.2500
1.0000,0.9954,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
84.7826,0.5000
TP,FP,FN,TN
129,36,20,183
