Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.1241,0.0000,0.9500
0.2774,0.0043,0.9000
0.3796,0.0043,0.8500
0.4599,0.0087,0.8000
0.5255,0.0173,0.7500
0.5985,0.0173,0.7000
0.6423,0.0216,0.6500
0.7153,0.0260,0.6000
0.7737,0.0390,0.5500
0.8175,0.0476,0.5000
0.8467,0.0693,0.4500
0.8467,0.1169,0.4000
0.8759,0.1688,0.3500
0.9124,0.2078,0.3000
0.9489,0.2727,0.2500
0.9708,0.4069,0.2000
1.0000,0.5628,0.1500
1.0000,0.7186,0.1000
1.0000,0.8745,0.0500
Best %,Threshold
90.2174,0.5000
TP,FP,FN,TN
112,11,25,220
