Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.5876,0.0229,0.9500
0.6045,0.0229,0.9000
0.6045,0.0229,0.8500
0.6158,0.0229,0.8000
0.6186,0.0229,0.7500
0.6243,0.0247,0.7000
0.6328,0.0247,0.6500
0.6356,0.0265,0.6000
0.6384,0.0265,0.5500
0.6412,0.0265,0.5000
0.6441,0.0265,0.4500
0.6441,0.0265,0.4000
0.6469,0.0282,0.3500
0.6497,0.0282,0.3000
0.6582,0.0282,0.2500
0.6638,0.0282,0.2000
0.6723,0.0300,0.1500
0.6893,0.0300,0.1000
0.7006,0.0353,0.0500
Best %,Threshold
86.3192,0.0500
TP,FP,FN,TN
248,20,106,547
