Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.2175,0.0018,0.9500
0.3277,0.0035,0.9000
0.3983,0.0035,0.8500
0.4944,0.0088,0.8000
0.5593,0.0194,0.7500
0.6356,0.0229,0.7000
0.6977,0.0247,0.6500
0.7288,0.0353,0.6000
0.7712,0.0406,0.5500
0.8136,0.0423,0.5000
0.8475,0.0529,0.4500
0.8757,0.0635,0.4000
0.8927,0.1023,0.3500
0.9124,0.1534,0.3000
0.9237,0.2011,0.2500
0.9576,0.2910,0.2000
0.9887,0.4586,0.1500
0.9887,0.5838,0.1000
1.0000,0.7337,0.0500
Best %,Threshold
91.3138,0.4000
TP,FP,FN,TN
310,36,44,531
