Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0132,0.0000,0.9500
0.0132,0.0000,0.9000
0.0199,0.0000,0.8500
0.0265,0.0000,0.8000
0.0596,0.0000,0.7500
0.0795,0.0000,0.7000
0.1192,0.0000,0.6500
0.2053,0.0092,0.6000
0.3046,0.0092,0.5500
0.8212,0.5484,0.5000
0.8609,0.5576,0.4500
0.8874,0.5622,0.4000
0.9073,0.5853,0.3500
0.9536,0.6129,0.3000
0.9868,0.7742,0.2500
0.9934,0.9171,0.2000
1.0000,0.9908,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
70.9239,0.5500
TP,FP,FN,TN
46,2,105,215
