Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0044,0.9500
0.0000,0.0044,0.9000
0.0000,0.0044,0.8500
0.0070,0.0044,0.8000
0.0070,0.0044,0.7500
0.0070,0.0044,0.7000
0.0070,0.0044,0.6500
0.0070,0.0044,0.6000
0.0070,0.0044,0.5500
0.3662,0.0619,0.5000
0.4718,0.0796,0.4500
0.5704,0.1018,0.4000
0.6972,0.1372,0.3500
0.8099,0.1903,0.3000
0.8944,0.2876,0.2500
0.9507,0.4513,0.2000
0.9930,0.6903,0.1500
1.0000,0.8761,0.1000
1.0000,0.9558,0.0500
Best %,Threshold
80.9783,0.3000
TP,FP,FN,TN
115,43,27,183
