Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0120,0.0025,0.9500
0.0361,0.0025,0.9000
0.1044,0.0025,0.8500
0.1847,0.0051,0.8000
0.3253,0.0051,0.7500
0.4177,0.0101,0.7000
0.5141,0.0127,0.6500
0.5904,0.0278,0.6000
0.6867,0.0354,0.5500
0.7590,0.0608,0.5000
0.8514,0.0937,0.4500
0.9036,0.1570,0.4000
0.9438,0.2709,0.3500
0.9679,0.4278,0.3000
0.9880,0.6456,0.2500
0.9920,0.7949,0.2000
1.0000,0.8911,0.1500
1.0000,0.9671,0.1000
1.0000,0.9924,0.0500
Best %,Threshold
88.5093,0.4500
TP,FP,FN,TN
212,37,37,358
