Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.2599,0.0335,0.9500
0.3927,0.0511,0.9000
0.5085,0.0811,0.8500
0.5791,0.0988,0.8000
0.6554,0.1270,0.7500
0.7288,0.1605,0.7000
0.7740,0.1922,0.6500
0.7994,0.2381,0.6000
0.8644,0.3175,0.5500
0.8870,0.3915,0.5000
0.9124,0.4815,0.4500
0.9407,0.5802,0.4000
0.9661,0.6808,0.3500
0.9859,0.7919,0.3000
0.9887,0.8748,0.2500
0.9944,0.9065,0.2000
0.9972,0.9400,0.1500
0.9972,0.9647,0.1000
1.0000,0.9841,0.0500
Best %,Threshold
79.6960,0.7000
TP,FP,FN,TN
258,91,96,476
