Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0028,0.0000,0.9500
0.0085,0.0000,0.9000
0.0141,0.0018,0.8500
0.0593,0.0053,0.8000
0.1243,0.0071,0.7500
0.1836,0.0071,0.7000
0.2797,0.0088,0.6500
0.4040,0.0141,0.6000
0.5056,0.0247,0.5500
0.7090,0.0617,0.5000
0.7768,0.0917,0.4500
0.8390,0.1481,0.4000
0.8842,0.2540,0.3500
0.9237,0.3986,0.3000
0.9802,0.5591,0.2500
0.9944,0.7866,0.2000
0.9972,0.8713,0.1500
1.0000,0.9506,0.1000
1.0000,0.9877,0.0500
Best %,Threshold
85.7763,0.4500
TP,FP,FN,TN
275,52,79,515
