Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0039,0.0000,0.6500
0.0558,0.0012,0.6000
0.1026,0.0080,0.5500
0.2429,0.0233,0.5000
0.3636,0.0455,0.4500
0.5260,0.0760,0.4000
0.7039,0.1589,0.3500
0.8662,0.2985,0.3000
0.9312,0.3817,0.2500
0.9753,0.5072,0.2000
1.0000,0.7337,0.1500
1.0000,0.9642,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
82.9853,0.4000
TP,FP,FN,TN
405,189,365,2297
