Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0043,0.7500
0.0075,0.0043,0.7000
0.0677,0.0043,0.6500
0.3158,0.0213,0.6000
0.5338,0.0553,0.5500
0.8872,0.1660,0.5000
0.9774,0.4894,0.4500
1.0000,0.8043,0.4000
1.0000,0.8851,0.3500
1.0000,0.9106,0.3000
1.0000,0.9447,0.2500
1.0000,0.9787,0.2000
1.0000,0.9830,0.1500
1.0000,0.9915,0.1000
1.0000,0.9957,0.0500
Best %,Threshold
85.3261,0.5000
TP,FP,FN,TN
118,39,15,196
