Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6691,0.0345,0.9500
0.7794,0.0733,0.9000
0.8088,0.0905,0.8500
0.8235,0.0991,0.8000
0.8603,0.1336,0.7500
0.8824,0.1595,0.7000
0.8897,0.1810,0.6500
0.8971,0.2155,0.6000
0.8971,0.2414,0.5500
0.9044,0.2888,0.5000
0.9338,0.3362,0.4500
0.9412,0.3836,0.4000
0.9485,0.4267,0.3500
0.9559,0.4957,0.3000
0.9853,0.5819,0.2500
1.0000,0.6336,0.2000
1.0000,0.7241,0.1500
1.0000,0.7845,0.1000
1.0000,0.8621,0.0500
Best %,Threshold
87.2283,0.9000
TP,FP,FN,TN
106,17,30,215
