Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0074,0.0086,0.6500
0.0074,0.0129,0.6000
0.0370,0.0129,0.5500
0.3481,0.0172,0.5000
0.5778,0.0515,0.4500
0.8074,0.1416,0.4000
0.9333,0.4163,0.3500
1.0000,0.8712,0.3000
1.0000,0.9700,0.2500
1.0000,0.9828,0.2000
1.0000,0.9914,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.9674,0.4000
TP,FP,FN,TN
109,33,26,200
