Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0127,0.0095,0.9500
0.0382,0.0095,0.9000
0.1146,0.0142,0.8500
0.2102,0.0142,0.8000
0.3312,0.0284,0.7500
0.4013,0.0284,0.7000
0.4268,0.0332,0.6500
0.5223,0.0332,0.6000
0.6115,0.0332,0.5500
0.7898,0.1185,0.5000
0.8344,0.1517,0.4500
0.8599,0.2133,0.4000
0.8981,0.2891,0.3500
0.9172,0.3934,0.3000
0.9682,0.5261,0.2500
0.9936,0.7109,0.2000
0.9936,0.8436,0.1500
1.0000,0.9336,0.1000
1.0000,0.9905,0.0500
Best %,Threshold
84.2391,0.5000
TP,FP,FN,TN
124,25,33,186
