Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0131,0.0000,0.9500
0.0588,0.0093,0.9000
0.0915,0.0093,0.8500
0.2092,0.0140,0.8000
0.2810,0.0186,0.7500
0.4052,0.0186,0.7000
0.4510,0.0233,0.6500
0.5752,0.0326,0.6000
0.6601,0.0419,0.5500
0.9477,0.2419,0.5000
0.9673,0.3070,0.4500
0.9804,0.3488,0.4000
0.9935,0.4465,0.3500
1.0000,0.6233,0.3000
1.0000,0.7116,0.2500
1.0000,0.7674,0.2000
1.0000,0.8465,0.1500
1.0000,0.9070,0.1000
1.0000,0.9767,0.0500
Best %,Threshold
83.6957,0.5000
TP,FP,FN,TN
145,52,8,163
