Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.3165,0.0730,0.9500
0.3830,0.0973,0.9000
0.4069,0.1265,0.8500
0.4149,0.1509,0.8000
0.4415,0.1655,0.7500
0.4521,0.1752,0.7000
0.4707,0.1946,0.6500
0.4894,0.2141,0.6000
0.5027,0.2360,0.5500
0.9628,0.8175,0.5000
0.9628,0.8516,0.4500
0.9787,0.8662,0.4000
0.9894,0.8905,0.3500
0.9947,0.9124,0.3000
0.9947,0.9343,0.2500
0.9973,0.9513,0.2000
1.0000,0.9781,0.1500
1.0000,0.9927,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
65.4384,0.9000
TP,FP,FN,TN
144,40,232,371
