Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0030,0.0000,0.7500
0.0059,0.0000,0.7000
0.0445,0.0000,0.6500
0.0861,0.0000,0.6000
0.1632,0.0222,0.5500
0.4659,0.1022,0.5000
0.7122,0.3133,0.4500
0.9288,0.7222,0.4000
1.0000,0.9889,0.3500
1.0000,1.0000,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
71.2834,0.5000
TP,FP,FN,TN
157,46,180,404
