Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0027,0.0000,0.9000
0.0109,0.0000,0.8500
0.0246,0.0000,0.8000
0.0437,0.0000,0.7500
0.1038,0.0000,0.7000
0.1776,0.0048,0.6500
0.2869,0.0071,0.6000
0.4454,0.0641,0.5500
0.9754,0.8836,0.5000
0.9863,0.9097,0.4500
0.9945,0.9786,0.4000
0.9973,1.0000,0.3500
1.0000,1.0000,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
70.7751,0.5500
TP,FP,FN,TN
163,27,203,394
