Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0081,0.0000,0.9000
0.0249,0.0008,0.8500
0.0417,0.0016,0.8000
0.0547,0.0027,0.7500
0.0609,0.0037,0.7000
0.2058,0.1605,0.6500
0.2146,0.1646,0.6000
0.2158,0.1668,0.5500
0.2195,0.1695,0.5000
0.2226,0.1750,0.4500
0.2264,0.1778,0.4000
0.2301,0.1815,0.3500
0.8041,0.3191,0.3000
0.8514,0.3599,0.2500
0.8993,0.4105,0.2000
0.9384,0.4731,0.1500
0.9708,0.5514,0.1000
0.9913,0.6707,0.0500
Best %,Threshold
76.5356,0.7000
TP,FP,FN,TN
98,18,1510,4886
